when,what,with,where,why,tag
19/11/2015,"Mental Health Policy – Global, National Trend and Current Challenges","Ilham Akhsanu Ridlo, Rizqy Amelia Zein","Psychofest Conference, Faculty of Psychology Universitas Airlangga","Surabaya, Indonesia",conference
21/02/2018,"Investigating determinants of lay knowledge, stigma and health-risk perception of pulmonary Tuberculosis in Surabaya, Indonesia","Rizqy Amelia Zein, Fendy Suhariadi, Wiwin Hendriani",6th ASEAN Regional Union of Psychological Society,"Denpasar, Indonesia",conference
21/02/2018,#CondomEmoji: Are urban Indonesians receptive to a social media-based campaign for safer sex?,"Ilham Akhsanu Ridlo, Rizqy Amelia Zein",6th ASEAN Regional Union of Psychological Society,"Denpasar, Indonesia",poster
16/11/2018,Would You Help 'the Other'? An experimental study of social categorisation and bystander effect,"Rizqy Amelia Zein, Aminah Nurhayati Lubis, Dhea Likhusniati Khafidar, Dinda Oktiana Sari, Lilik Suryani & Hasna Nur Adeliya","3rd International Conference on Psychology in Health, Educational, Social and Organizational Settings (ICP-HESOS)","Surabaya, Indonesia",poster
06/02/2019,"Similar ideology, different political aficionado: A case of Indonesian 2019 presidential election","Rizqy Amelia Zein, Jony Eko Yulianto, Rahkman Ardi, Ilham Nuralfian",2nd Open Science Meeting (OSM) 2019,"Ubud, Indonesia",conference
07/02/2019,Assessing (questionable) research practices of Indonesian academics: A meta-analysis of observed power,Rizqy Amelia Zein,2nd Open Science Meeting (OSM) 2019,"Ubud, Indonesia",conference
29/09/2018,Inferential Statistical Tests with jamovi,Rizqy Amelia Zein,Faculty of Psychology Universitas Airlangga,"Surabaya, Indonesia",workshop
04/10/2018,Isu-Isu Utama dalam Pelayanan Kesehatan Jiwa,Rizqy Amelia Zein,Faculty of Psychology Universitas Trunojoyo,"Bangkalan, Indonesia",invited talk
21/01/2019,Challenging Religious Extremism: Social psychology perspective,Rizqy Amelia Zein,Universitas Nahdlatul Ulama,"Surabaya, Indonesia",invited talk
25/04/2019,Encouraging Academics to Embrace #OpenScience,Rizqy Amelia Zein,The 5th UGM Public Health Symposium,"Jogjakarta, Indonesia",invited talk
11/03/2018,Dukungan Sosial dan Depresi: Studi meta-analisis dengan populasi penelitian masyarakat Indonesia,Rizqy Amelia Zein,Temu Ilmiah Nasional Ikatan Psikologi Sosial Indonesia (IPS) 2018,"Surabaya, Indonesia",conference
05/04/2019,"Tinggal Hitung Hari, Siapa yang Paling Kuat?",Rizqy Amelia Zein,iNews Special Report,"Jakarta, Indonesia",live talkshow
